,id,name,review_count,rating,price,latitude,longitude,address,city,state,country,zip_code,cuisines
32,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
33,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
34,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
35,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
36,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
37,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
38,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
39,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
40,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
41,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
