,category
142,"Pizza, American"
143,"American, Soul Food, Southern"
144,"American, Comfort Food, Seafood, Family Meals"
145,"American, Wings"
146,"Seafood, Southern, BBQ"
147,"Burgers, American, Sandwiches"
148,"Breakfast and Brunch, Diner, Sandwiches"
149,"American, Salads, Burgers, Healthy"
150,"Burgers, American, Sandwiches"
151,"American, Burgers, Fast Food"
152,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
153,"American, burger, Fast Food, Family Meals"
154,"Mediterranean, Greek, Burgers"
155,"Mexican, Seafood, Desserts"
156,"Pizza, Italian, Sandwiches"
157,"Mediterranean, Breakfast and Brunch, Wings, Exclusive to Eats"
158,"Pizza, Wings"
159,"American, Italian"
160,"Mexican, Burritos, Tacos"
161,"Burgers, Sandwiches, Breakfast and Brunch, Pizza, Salads, Salads"
162,"Pizza, Wings, Desserts, Sandwiches"
163,"Italian, Pizza, Pasta"
164,"Salads, American, Vegetarian"
165,"Pizza, Italian"
166,"Italian, Pasta, Comfort Food"
167,American
168,"American, Fast Food, New American, Western, Exclusive to Eats"
169,"American, Burgers, Chicken"
170,"American, Bar Food"
171,"Pizza, Burgers, Italian"
172,Burgers
173,"American, Fast Food, Chicken"
174,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
175,"Burgers, American, Sandwiches"
176,"Burgers, American, Sandwiches"
177,"Italian, Pasta, Comfort Food"
178,"American, Family Meals"
179,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
180,"Burgers, American, Sandwiches"
181,"Breakfast and Brunch, Sandwiches, Desserts"
182,"American, Diner, Salads, Steak, Sandwich, Family Meals, Healthy"
183,"Burgers, American, Sandwiches"
184,Breakfast and Brunch
185,"Healthy, Pasta, American, Italian, Comfort Food, Noodles, Family Meals"
186,"Chinese, Asian, Japanese"
187,"Asian, Asian Fusion, Korean"
188,"Asian, Comfort Food"
189,"Chinese, Vegetarian, Chicken"
190,"Sushi, Japanese, Rolls"
191,"Thai, Asian, Noodles"
192,"Asian, Chinese, Family Meals, Group Friendly"
193,"Mexican, Latin American, New Mexican"
194,"American, Fast Food, wings, Family Meals, Family Friendly"
195,"Healthy, Salads, Vegetarian Friendly, Cafe"
196,"Seafood, American, Family Meals, Family Friendly"
197,"Burgers, American, Sandwiches, Family Meals, Family Friendly"
198,"Latin American, Mexican, Vegetarian, Chicken, Salads, Healthy"
199,"American, Burgers, Comfort Food, Vegetarian Friendly, Fast Food"
200,"Mexican, Latin American, New Mexican, Seafood"
201,"Pizza, Desserts, Salads, American, Healthy, Vegetarian Friendly, Kids Friendly"
202,"Sandwich, American, Family Friendly"
203,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly"
204,"Indian, Pakistani, Halal, Chicken, Family Meals, Allergy Friendly, Family Friendly"
205,"Mexican, Desserts, Kids Friendly, Burritos, Tex Mex"
206,"Mexican, Latin American, New Mexican"
207,"Mexican, Chicken, Kids Friendly"
208,"Mexican, Latin American, New Mexican"
209,"Italian, Pasta, Comfort Food, American, Pizza, Alcohol, Exclusive to Eats"
210,"Sandwiches, American, Healthy, Alcohol"
211,"Fast Food, Sandwich, American"
212,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery, Group Friendly"
213,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts"
214,"American, Burgers, Fast Food, Breakfast and Brunch"
215,"Mexican, Latin American, New Mexican"
216,"Mexican, Seafood, Alcohol, Family Friendly"
217,"Vegan, Gluten Free, American, Breakfast and Brunch, Pizza, Juice and Smoothies, OrganicProducts, Allergy Friendly"
218,"Asian Fusion, Asian, Korean"
219,"Asian, Chicken, Chinese"
220,"Burgers, American, Sandwiches, Family Meals"
221,"American, Sandwich, Burgers, Fast Food, Kids Friendly"
222,"Ice Cream + Frozen Yogurt, American, Comfort Food"
223,"Coffee and Tea, American, Breakfast and Brunch"
224,"Burgers, American, Sandwiches"
225,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
226,"Breakfast and Brunch, American, Family Friendly"
227,"Deli, Salads, Sandwich, Healthy"
228,"Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care, Alcohol, Wine"
229,"American, Sandwich, Burgers, Comfort Food, Pasta, Salads, Sandwiches, Steak, Wings"
230,"Alcohol, Liquor Stores, Wine"
231,"Sandwich, Deli, Family Meals"
232,"BBQ, American, Sandwiches"
233,"Chinese, Asian"
234,"American, Wings"
235,"American, burger, Fast Food, Family Meals"
236,"Burgers, Fast Food, Hot Dog"
237,"Chicken Strips, Fried Chicken, Seafood, Family Meals"
238,"Fast Food, Italian, pizza, wings"
239,"Asian, Chinese, Family Meals"
240,"Burgers, Bar Food, American, Family Meals"
241,"American, Fast Food, wings, Family Meals"
242,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
243,"American, Burgers, Fast Food, Breakfast and Brunch"
244,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
245,"Mexican, Tacos, Burritos, Family Friendly"
246,"Burritos, Fast Food, Mexican"
247,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care, Alcohol"
248,"American, burger, Fast Food, Family Meals"
249,"Healthy, Mexican"
250,"American, Burgers, Fast Food"
251,"Burritos, Fast Food, Mexican"
252,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
253,"Fast Food, Sandwich, American"
254,"Burritos, Fast Food, Mexican"
255,"American, Burgers, Fast Food"
256,"American, burger, Fast Food, Family Meals"
257,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
258,"Pizza, Sandwiches"
259,"American, burger, Fast Food, Family Meals"
260,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
261,"Healthy, Mexican"
262,"American, Fried Chicken, Southern, Sandwich, Fast Food"
263,"Seafood, Fast Food, Fish and Chips, American, Family Meals"
264,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
265,"Sandwiches, American, Healthy"
266,"Pizza, American, Italian"
267,"American, Fast Food, wings, Family Meals"
268,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
269,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
270,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
271,"Burritos, Fast Food, Mexican"
272,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
273,"Burgers, American, Sandwiches, Family Meals"
274,"Italian, Pasta, Pizza"
275,"Pizza, Italian, Salads, Healthy"
276,"Pizza, Salads, Wings"
277,"pizza, Sandwich, Comfort Food"
278,"Breakfast and Brunch, salad, Sandwich, Healthy, American, Chicken"
279,"Burgers, American, Sandwiches, Family Meals"
280,"Wings, American"
281,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
282,"American, Burgers"
283,"Burgers, Bar Food, Family Meals"
284,"Burritos, Fast Food, Mexican"
285,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
286,"Burritos, Fast Food, Mexican"
287,"Burgers, American, Sandwiches, Family Meals"
288,"American, burger, Comfort Food"
289,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals"
290,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
291,"Desserts, PIzza, Wings"
292,"Mediterranean, Sandwich"
293,"Pizza, Comfort Food"
294,"Bakery, Cafe, Donuts"
295,"Asian, Chinese, Family Meals"
296,"Vietnamese, Noodles, Pho"
297,"Chinese: Cantonese, Chinese, Seafood, Chicken"
298,"Italian, Pizza, Pasta, Family Meals"
299,"Healthy, Sandwich, Soup"
300,"Pizza, Sandwich, Italian, Family Meals"
301,"Italian, Pasta, Comfort Food"
302,"Indian, Vegetarian, Asian"
303,"Thai, Asian, Soup"
304,"American, Healthy, Juice and Smoothies"
305,"Pizza, American, Keto, Plant Based"
306,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American"
307,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich"
308,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
309,"Peruvian, Latin American, Seafood"
310,"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals"
311,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
312,"Seafood, Family Meals"
313,"American, Burgers, Wings"
314,"Sandwich, American"
315,"Sandwiches, American, Healthy"
316,"American, Wings, Comfort Food"
317,"Seafood, American, Family Meals"
318,"Pizza, American, Italian"
319,"American, Fast Food, wings"
320,"Burgers, American, Sandwiches, Family Meals"
321,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
322,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
323,"American, Wings"
324,"American, Burgers, Fast Food"
325,"Pizza, American, Italian"
326,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
327,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
328,"American, Burgers, Fast Food"
329,"American, Burgers, Chicken, Desserts"
330,"Seafood, American, Southern"
331,"American, Burgers, Sandwiches"
332,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals"
333,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
334,"American, New American, Burgers, Sandwich, Salads, Seafood, Healthy"
335,"Black-owned, American, Traditional American, Exclusive to Eats"
336,"American, Burgers, Fast Food"
337,"Juice and Smoothies, Kids Friendly, Comfort Food"
338,"Wings, American, Sandwich, Family Friendly"
339,"American, Fast Food, wings, Family Meals, Family Friendly"
340,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
341,"American, Healthy, salad"
342,"Burgers, American, Sandwiches, Family Meals"
343,Desserts
344,"Bakery, Desserts"
345,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
346,"Burritos, Fast Food, Mexican"
347,"Everyday Essentials, Convenience, Grocery, Snacks"
348,"Healthy, Mexican"
349,"Mexican, Bowls, Salads"
350,"American, burger, Fast Food, Family Meals"
351,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
352,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals"
353,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care"
354,"American, burger, Family Meals"
355,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
356,"Chinese, Asian, Asian Fusion"
357,"Mexican, Healthy, New Mexican"
358,"Breakfast &amp; Brunch, Donuts, Coffee and Tea"
359,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
360,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
361,American
362,"American, Burgers, Sandwich"
363,"American, Breakfast &amp; Brunch, Comfort Food, Family Meals"
364,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
365,"Burgers, American, Sandwiches, Family Meals"
366,"American, burger, Fast Food"
367,"Chinese, Asian, Asian Fusion"
368,"American, Fast Food, wings, Family Meals"
369,"Burgers, American, Sandwiches, Family Meals"
370,"Mexican, Latin American, New Mexican"
371,"American, Burgers, Fast Food"
372,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
373,"Burritos, Fast Food, Mexican"
374,"American, Burgers, Fast Food, Fast Food"
375,"American, burger, Fast Food, Family Meals"
376,"American, Burgers, Fast Food"
377,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
378,"Indian, Asian, Asian Fusion"
379,"Italian, Pizza"
380,"Seafood, Fast Food, Fish and Chips, American, Family Meals"
381,"Chinese, Comfort Food"
382,"Healthy, Mexican"
383,"American, Breakfast and Brunch, Salads, Healthy"
384,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
385,"Breakfast &amp; Brunch, Donuts"
386,"Sandwich, American"
387,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals"
388,"American, Wings"
389,"American, Comfort Food, Sandwiches, Italian, Pizza"
390,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
391,"American, Fast Food, Ice Cream &amp; Frozen Yogurt"
392,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
393,"Seafood, American, Family Meals"
394,"American, Sandwiches, Burgers, Mediterranean, Salads, Greek"
395,"American, Burgers, Fast Food"
396,"American, Burgers, Fast Food"
397,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly"
398,"American, Family Meals"
399,"American, Burgers, Sandwich"
400,"American, Fast Food, wings"
401,"Breakfast and Brunch, Bakery, Desserts"
402,"Burgers, American, Sandwiches, Family Meals"
403,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
404,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
405,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
406,"Burritos, Fast Food, Mexican"
407,"Mexican, Bowls, Salads"
408,"American, burger, Fast Food, Family Meals"
409,"American, burger"
410,"American, Fast Food, wings"
411,"Burritos, Fast Food, Mexican"
412,"Sandwich, American"
413,"Seafood, Family Meals"
